,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,total_spent,parent,total_accepted_coupons,number_of_total_purchases
1171,Under Graduate,In Relationship,20130.0,0,0,99,0,6,3,7,6,12,1,1,0,3,8,0,0,0,0,0,0,0,49,34,0,0,5
1172,Post Graduate,In Relationship,74214.0,0,0,3,863,83,547,86,99,33,1,8,2,5,5,0,0,0,0,0,0,0,33,1711,0,0,16
1173,Post Graduate,In Relationship,66726.0,1,1,61,349,7,35,0,0,47,3,8,2,4,7,0,1,0,0,0,0,0,66,438,2,1,17
1174,Under Graduate,In Relationship,23724.0,1,0,65,5,23,15,0,18,14,2,2,0,3,8,0,0,0,0,0,0,0,44,75,1,0,7
1175,Post Graduate,In Relationship,47353.0,0,1,93,184,2,19,8,8,4,3,2,2,6,5,0,0,0,0,0,0,0,63,225,1,0,13
1176,Post Graduate,In Relationship,33444.0,1,1,24,8,0,8,0,0,2,1,1,0,2,8,0,0,0,0,0,0,0,71,18,2,0,4
1177,Graduate,In Relationship,54386.0,0,1,8,277,21,64,62,21,25,2,3,2,10,3,0,0,0,0,0,0,0,42,470,1,0,17
1178,Graduate,Single,28510.0,1,1,72,44,5,19,0,4,19,3,2,0,4,5,0,0,0,0,0,0,0,42,91,2,0,9
1179,Post Graduate,Single,90638.0,0,0,29,1156,120,915,94,144,96,1,3,4,10,1,0,0,1,0,0,0,0,32,2525,0,1,18
1180,Graduate,In Relationship,48070.0,0,1,33,373,14,83,6,9,19,3,8,2,6,7,0,0,0,0,0,1,0,73,504,1,0,19
1181,Graduate,In Relationship,43140.0,0,1,68,134,8,76,6,0,11,1,4,1,5,6,0,0,0,0,0,0,0,66,235,1,0,11
1182,Post Graduate,Single,54959.0,0,1,55,1148,0,60,0,0,24,3,9,5,4,7,0,1,0,0,0,0,1,62,1232,1,1,21
1183,Under Graduate,Single,15056.0,1,1,76,6,12,3,21,6,40,5,2,2,3,5,0,0,0,0,0,0,0,65,88,2,0,12
1184,Graduate,Single,26954.0,1,0,17,4,1,11,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,52,17,1,0,4
1185,Graduate,Single,22327.0,1,0,94,5,4,8,2,0,5,1,1,0,3,5,0,0,0,0,0,0,0,38,24,1,0,5
1186,Graduate,In Relationship,44393.0,1,1,86,24,2,20,2,2,10,2,1,0,4,4,0,0,0,0,0,0,0,58,60,2,0,7
1187,Post Graduate,Single,62000.0,0,1,25,899,0,101,0,0,20,1,6,6,13,4,0,0,0,1,0,0,0,71,1020,1,1,26
1188,Post Graduate,In Relationship,31497.0,0,1,22,108,1,28,13,1,4,2,3,1,4,8,0,0,0,0,0,0,0,61,155,1,0,10
1189,Under Graduate,In Relationship,45894.0,0,2,15,27,2,7,0,2,13,1,1,0,3,5,0,0,0,0,0,0,0,49,51,2,0,5
1190,Post Graduate,Single,78579.0,0,0,35,816,66,549,216,66,99,1,5,6,4,3,0,0,0,0,0,0,1,53,1812,0,0,16
1191,Post Graduate,Single,67369.0,0,1,81,1298,0,70,37,14,42,4,7,4,10,4,0,1,1,0,0,0,1,54,1461,1,2,25
1192,Graduate,Single,58401.0,0,1,55,10,0,11,17,29,29,1,1,2,2,4,0,0,0,0,0,0,0,63,96,1,0,6
1193,Graduate,Single,62307.0,0,1,94,87,13,34,10,6,10,1,4,0,4,5,0,0,0,0,0,0,0,71,160,1,0,9
1194,Post Graduate,In Relationship,43641.0,1,1,50,57,2,51,4,2,23,3,2,1,4,6,0,0,0,0,0,0,0,54,139,2,0,10
1195,Post Graduate,Single,63841.0,0,1,64,635,15,100,20,7,131,1,9,3,9,6,0,0,0,0,0,0,0,55,908,1,0,22
1196,Under Graduate,In Relationship,46891.0,0,1,91,43,12,23,29,15,61,1,2,1,4,4,0,0,0,0,0,0,0,58,183,1,0,8
1197,Post Graduate,In Relationship,70091.0,1,0,11,964,34,137,15,0,11,2,5,2,10,8,0,1,0,0,0,0,0,54,1161,1,1,19
1198,Post Graduate,In Relationship,78075.0,0,0,72,572,8,259,34,35,80,1,3,5,5,1,0,0,0,0,0,0,0,51,988,0,0,14
1199,Under Graduate,Single,59184.0,0,1,6,341,142,113,259,151,66,3,6,6,12,5,0,0,0,0,0,0,0,62,1072,1,0,27
1200,Graduate,In Relationship,54809.0,1,1,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,0,0,46,174,2,0,12
1201,Graduate,In Relationship,58113.0,0,1,66,221,104,169,102,78,84,3,9,2,8,7,0,0,0,0,0,1,0,64,758,1,0,22
1202,Post Graduate,In Relationship,51412.0,0,1,42,140,3,29,4,5,14,2,3,2,4,4,0,0,0,0,0,0,0,65,195,1,0,11
1203,Graduate,Single,15287.0,1,0,60,1,2,8,4,3,13,2,1,1,2,7,1,0,0,0,0,0,1,44,31,1,1,6
1204,Post Graduate,In Relationship,66636.0,0,0,64,291,10,689,84,10,0,1,3,4,9,1,0,0,0,0,0,0,0,66,1084,0,0,17
1205,Post Graduate,In Relationship,50965.0,0,1,87,544,13,85,8,6,29,3,10,4,5,8,1,0,0,0,0,0,0,67,685,1,1,22
1206,Post Graduate,In Relationship,84618.0,0,0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,58,1672,0,1,26
1207,Graduate,In Relationship,18351.0,0,0,1,1,12,9,0,14,7,1,2,0,3,7,0,0,0,0,0,0,0,33,43,0,0,6
1208,Post Graduate,In Relationship,40451.0,0,2,54,35,0,4,0,0,10,1,1,1,2,5,1,0,0,0,0,0,0,66,49,2,1,5
1209,Graduate,In Relationship,36317.0,0,1,53,87,3,25,3,2,13,2,3,0,4,7,0,0,0,0,0,0,0,58,133,1,0,9
1210,Graduate,In Relationship,42213.0,0,1,96,309,3,24,4,3,20,2,5,1,7,7,0,1,0,0,0,0,0,66,363,1,1,15
1211,Graduate,In Relationship,65748.0,0,1,58,172,73,93,95,78,34,2,2,4,10,1,0,0,0,0,0,1,0,68,545,1,0,18
1212,Graduate,In Relationship,77044.0,0,1,12,625,38,242,50,34,76,2,7,11,11,4,1,0,0,0,0,0,0,51,1065,1,1,31
1213,Graduate,In Relationship,74918.0,0,0,78,972,59,913,25,19,59,1,5,9,6,3,0,0,1,0,0,0,0,54,2047,0,1,21
1214,Graduate,In Relationship,56721.0,1,1,64,157,6,39,6,13,75,5,4,1,5,6,0,0,0,0,0,0,0,51,296,2,0,15
1215,Graduate,Single,42160.0,1,1,26,48,9,45,3,15,20,4,2,1,4,6,0,0,0,0,0,0,1,48,140,2,0,11
1216,Graduate,Single,61559.0,0,1,8,279,83,88,32,14,34,1,4,2,10,3,0,0,0,0,0,0,0,58,530,1,0,17
1217,Post Graduate,In Relationship,33629.0,1,1,49,132,0,16,0,0,4,5,3,1,4,9,0,0,0,0,0,0,0,60,152,2,0,13
1218,Post Graduate,In Relationship,68682.0,0,0,56,919,0,505,99,30,45,1,4,9,10,2,0,0,0,0,0,0,0,32,1598,0,0,24
1219,Graduate,Single,34377.0,0,1,55,62,0,22,3,1,26,2,2,2,2,7,0,0,0,0,0,0,0,60,114,1,0,8
1220,Under Graduate,Single,8940.0,1,0,25,1,45,3,4,6,42,3,3,1,3,8,0,0,0,0,0,0,0,37,101,1,0,10
1221,Graduate,In Relationship,26228.0,1,0,50,2,6,4,3,1,9,1,1,0,2,8,0,0,0,0,0,0,0,50,25,1,0,4
1222,Under Graduate,Single,77297.0,0,0,84,408,61,109,48,122,41,1,5,7,9,4,0,0,0,1,0,0,0,66,789,0,1,22
1223,Graduate,In Relationship,40211.0,1,1,30,51,1,7,2,1,25,2,2,1,2,8,1,0,0,0,0,0,0,42,87,2,1,7
1224,Post Graduate,Single,33438.0,1,1,81,62,1,16,3,2,6,4,2,1,4,5,0,0,0,0,0,0,0,65,90,2,0,11
1225,Post Graduate,In Relationship,75032.0,0,1,74,952,12,180,47,12,12,2,5,4,9,3,0,0,0,0,0,0,0,64,1215,1,0,20
1226,Post Graduate,Single,61284.0,0,0,76,618,15,106,20,7,45,1,11,2,8,6,0,1,0,0,0,0,0,68,811,0,1,22
1227,Graduate,In Relationship,22518.0,1,0,36,11,7,12,2,2,27,2,2,1,2,5,1,0,0,0,0,0,1,37,61,1,1,7
1228,Post Graduate,In Relationship,54730.0,0,1,64,318,3,17,4,7,56,5,4,1,8,4,0,0,0,0,0,0,0,48,405,1,0,18
1229,Post Graduate,In Relationship,38452.0,1,1,62,56,0,14,0,0,2,3,3,0,3,7,0,0,0,0,0,0,0,68,72,2,0,9
1230,Graduate,Single,44421.0,1,1,53,110,5,59,7,1,7,5,5,0,4,8,0,0,0,0,0,0,0,52,189,2,0,14
1231,Post Graduate,In Relationship,38197.0,1,0,86,23,0,11,2,1,3,1,1,0,3,5,0,0,0,0,0,0,0,37,40,1,0,5
1232,Graduate,Single,41986.0,0,1,15,27,5,8,8,3,12,3,3,0,4,4,0,0,0,0,0,0,0,45,63,1,0,10
1233,Graduate,In Relationship,28427.0,1,0,67,18,3,19,3,3,6,2,2,0,3,8,0,0,0,0,0,0,0,40,52,1,0,7
1234,Post Graduate,In Relationship,37395.0,1,0,47,18,0,9,0,1,11,1,1,0,3,6,0,0,0,0,0,0,0,47,39,1,0,5
1235,Graduate,In Relationship,64722.0,1,0,47,303,0,280,60,147,15,4,8,2,11,6,0,0,0,0,0,0,0,52,805,1,0,25
1236,Post Graduate,In Relationship,55249.0,0,1,81,97,1,19,2,0,11,1,2,1,4,3,0,0,0,0,0,0,0,67,130,1,0,8
1237,Graduate,In Relationship,84906.0,0,0,98,997,15,414,99,30,76,1,5,6,12,2,0,1,1,0,1,0,0,51,1631,0,3,24
1238,Graduate,In Relationship,28691.0,1,0,56,5,4,13,8,0,4,1,1,0,3,8,0,0,0,0,0,0,0,34,34,1,0,5
1239,Graduate,Single,44213.0,1,1,48,95,11,35,0,4,7,4,2,1,5,6,0,0,0,0,0,0,0,71,152,2,0,12
1240,Under Graduate,Single,25707.0,1,0,18,1,6,2,3,6,3,1,1,0,3,7,0,0,0,0,0,0,0,39,21,1,0,5
1241,Post Graduate,In Relationship,59062.0,2,1,74,46,1,12,3,0,9,2,2,0,3,4,0,0,0,0,0,0,0,56,71,3,0,7
1242,Graduate,Single,76624.0,0,1,68,411,106,147,54,115,66,1,5,10,7,1,1,0,0,0,0,0,0,61,899,1,1,23
1243,Post Graduate,In Relationship,66000.0,0,0,36,244,51,270,101,0,45,1,1,3,5,1,0,0,0,0,0,0,0,76,711,0,0,10
1244,Post Graduate,In Relationship,27683.0,1,0,90,152,9,121,12,12,45,4,6,2,4,8,0,0,0,0,0,0,0,45,351,1,0,16
1245,Graduate,Single,1730.0,0,0,65,1,1,3,1,1,1,15,0,0,0,20,0,0,0,0,0,0,0,52,8,0,0,15
1246,Under Graduate,Single,7500.0,1,0,63,10,17,18,8,26,40,4,3,2,2,9,0,0,0,0,0,0,0,31,119,1,0,11
1247,Graduate,In Relationship,40521.0,1,1,82,12,0,5,0,0,4,1,0,1,2,5,0,0,0,0,0,0,0,55,21,2,0,4
1248,Post Graduate,In Relationship,20427.0,1,0,63,5,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0,0,0,50,10,1,0,4
1249,Graduate,In Relationship,65106.0,0,1,55,790,19,133,12,0,19,3,8,3,13,6,0,1,0,0,0,0,0,48,973,1,1,27
1250,Post Graduate,In Relationship,69969.0,0,0,64,882,29,514,38,29,44,1,4,2,6,3,0,0,1,1,0,0,1,58,1536,0,2,13
1251,Graduate,In Relationship,67433.0,0,2,51,615,28,259,12,48,30,4,6,5,13,4,0,1,0,0,0,0,0,71,992,2,1,28
1252,Post Graduate,In Relationship,77766.0,0,1,97,1004,59,265,115,59,27,2,11,10,11,6,1,0,0,0,0,0,1,56,1529,1,1,34
1253,Graduate,In Relationship,74716.0,0,1,92,133,27,421,13,195,71,2,7,3,5,4,0,0,0,0,0,0,0,51,860,1,0,17
1254,Graduate,Single,68118.0,0,1,51,595,23,123,10,23,154,2,8,9,4,6,0,0,0,0,0,0,0,60,928,1,0,23
1255,Post Graduate,In Relationship,55158.0,1,1,72,293,0,87,4,11,23,4,7,2,5,7,0,0,0,0,0,0,1,53,418,2,0,18
1256,Under Graduate,In Relationship,62972.0,0,1,39,313,15,47,20,0,192,2,7,4,3,6,0,0,0,0,0,0,1,68,587,1,0,16
1257,Graduate,In Relationship,74190.0,0,1,49,151,81,86,168,91,64,2,4,2,11,2,0,0,0,0,0,0,0,48,641,1,0,19
1258,Graduate,In Relationship,39356.0,1,1,21,15,0,2,0,0,6,1,1,0,2,6,1,0,0,0,0,0,0,47,23,2,1,4
1259,Graduate,In Relationship,76653.0,0,0,91,736,63,946,219,189,126,1,4,7,11,2,0,0,1,1,0,0,0,54,2279,0,2,23
1260,Post Graduate,Single,35860.0,1,1,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,0,50,49,2,1,6
1261,Post Graduate,Single,90687.0,0,0,98,982,17,672,23,34,51,1,6,2,8,2,0,0,1,0,0,0,1,40,1779,0,1,17
1262,Post Graduate,In Relationship,73450.0,0,0,85,1142,51,415,90,69,37,1,7,8,11,3,1,0,0,1,0,0,0,41,1804,0,2,27
1263,Graduate,In Relationship,31454.0,1,1,40,28,0,11,0,0,9,3,2,0,3,8,0,0,0,0,0,0,0,63,48,2,0,8
1264,Graduate,Single,47139.0,1,1,2,46,0,12,0,2,23,2,2,1,2,7,0,0,0,0,0,0,1,71,83,2,0,7
1265,Graduate,Single,83829.0,0,0,78,897,161,430,186,161,27,0,4,7,6,1,1,0,1,1,0,0,1,48,1862,0,3,17
1266,Post Graduate,In Relationship,53378.0,1,1,41,489,6,152,8,6,132,10,9,4,6,8,0,0,0,0,0,0,1,60,793,2,0,29
1267,Graduate,In Relationship,19656.0,1,0,94,25,4,9,6,8,32,3,2,1,3,7,0,0,0,0,0,0,0,53,84,1,0,9
1268,Post Graduate,In Relationship,45579.0,0,1,10,145,1,33,2,1,1,1,4,1,4,6,0,0,0,0,0,0,0,75,183,1,0,10
1269,Under Graduate,Single,85485.0,0,0,73,630,26,611,44,18,54,1,6,6,6,2,0,0,0,0,0,0,0,65,1383,0,0,19
1270,Graduate,In Relationship,55956.0,0,0,22,760,38,104,50,9,38,2,7,3,4,4,0,1,0,0,0,0,0,79,999,0,1,16
1271,Post Graduate,Single,64191.0,0,1,30,420,15,186,151,38,15,3,5,3,13,3,0,0,0,0,0,0,0,60,825,1,0,24
1272,Graduate,Single,38808.0,1,0,21,125,17,52,3,19,30,4,5,1,4,8,1,0,0,0,0,0,1,51,246,1,1,14
1273,Post Graduate,In Relationship,57183.0,1,1,51,464,5,64,7,0,70,8,9,1,7,8,0,0,0,0,0,0,0,57,610,2,0,25
1274,Post Graduate,Single,23748.0,1,0,97,6,6,29,12,15,8,3,2,1,3,8,0,0,0,0,0,0,0,55,76,1,0,9
1275,Graduate,In Relationship,66303.0,0,1,56,1090,12,96,16,12,60,4,3,4,11,8,0,1,0,0,0,0,0,52,1286,1,1,22
1276,Post Graduate,In Relationship,37368.0,1,0,4,3,2,11,2,2,10,1,1,0,2,6,1,0,0,0,0,0,0,48,30,1,1,4
1277,Graduate,In Relationship,40800.0,1,2,77,24,0,27,8,30,10,2,3,0,3,7,0,0,0,0,0,1,0,59,99,3,0,8
1278,Graduate,Single,71847.0,0,0,95,737,21,106,55,63,210,0,6,7,9,3,0,0,0,1,0,0,0,45,1192,0,1,22
1279,Graduate,In Relationship,46149.0,0,1,36,254,6,71,4,0,27,5,5,1,7,5,0,0,0,0,0,0,0,48,362,1,0,18
1280,Graduate,In Relationship,78687.0,0,0,13,817,185,687,145,55,241,1,4,6,8,2,0,0,1,0,0,0,1,40,2130,0,1,19
1281,Under Graduate,Single,49118.0,0,0,90,620,54,239,99,98,119,2,9,7,10,7,0,1,0,0,1,0,1,52,1229,0,2,28
1282,Post Graduate,In Relationship,37633.0,1,1,49,13,4,20,0,0,1,2,1,0,3,9,0,0,0,0,0,0,0,66,38,2,0,6
1283,Post Graduate,In Relationship,39767.0,0,0,18,113,61,204,34,26,47,2,7,1,7,8,0,0,0,0,0,0,0,72,485,0,0,17
1284,Under Graduate,In Relationship,26997.0,0,0,89,7,23,78,133,49,144,2,4,2,5,7,0,0,0,0,0,0,0,72,434,0,0,13
1285,Graduate,Single,33986.0,1,0,43,16,2,18,2,1,5,1,1,0,3,7,0,0,0,0,0,0,0,53,44,1,0,5
1286,Post Graduate,In Relationship,57091.0,0,1,82,462,0,24,6,0,4,2,9,2,5,7,0,1,0,0,0,0,1,51,496,1,1,18
1287,Under Graduate,In Relationship,46831.0,1,1,84,22,2,10,6,4,34,2,1,2,2,4,0,0,0,0,0,0,0,54,78,2,0,7
1288,Post Graduate,In Relationship,83151.0,0,0,80,968,147,842,137,42,210,1,5,7,10,2,1,0,1,1,0,0,1,51,2346,0,3,23
1289,Graduate,In Relationship,52531.0,0,0,68,283,112,151,51,72,125,2,7,2,10,6,0,0,0,0,0,0,0,52,794,0,0,21
1290,Graduate,In Relationship,15759.0,0,0,12,1,2,5,6,0,3,1,1,0,2,7,0,0,0,0,0,0,0,67,17,0,0,4
1291,Graduate,Single,22804.0,1,0,75,14,1,7,2,1,1,1,2,0,2,9,0,0,0,0,0,0,0,52,26,1,0,5
1292,Under Graduate,In Relationship,43050.0,1,0,10,30,5,24,6,3,8,2,2,0,4,5,0,0,0,0,0,0,0,50,76,1,0,8
1293,Post Graduate,Single,42997.0,1,1,91,4,0,5,0,1,5,1,1,0,2,7,0,0,0,0,0,0,0,46,15,2,0,4
1294,Post Graduate,Single,48918.0,1,1,21,52,0,9,0,0,1,2,1,0,4,4,0,0,0,0,0,0,0,60,62,2,0,7
1295,Post Graduate,In Relationship,60033.0,0,1,28,62,1,57,19,11,48,2,2,1,5,2,0,0,0,0,0,0,0,69,198,1,0,10
1296,Post Graduate,In Relationship,34043.0,1,0,97,20,2,14,3,0,10,1,2,0,2,9,0,0,0,0,0,0,0,45,49,1,0,5
1297,Graduate,In Relationship,57811.0,0,1,49,545,7,114,37,21,78,5,7,2,11,5,0,1,0,0,0,0,0,57,802,1,1,25
1298,Graduate,In Relationship,78569.0,0,0,14,558,79,622,207,175,95,1,4,6,4,1,0,0,1,0,0,0,1,77,1736,0,1,15
1299,Graduate,Single,7500.0,1,1,5,6,5,4,13,4,25,4,2,1,3,6,0,0,0,0,0,0,0,45,57,2,0,10
1300,Post Graduate,In Relationship,157733.0,1,0,37,39,1,9,2,0,8,0,1,0,1,1,0,0,0,0,0,0,0,52,59,1,0,2
1301,Graduate,In Relationship,94384.0,0,0,62,1111,24,790,160,45,172,0,5,8,5,2,0,1,1,1,0,0,1,70,2302,0,3,18
1302,Under Graduate,In Relationship,23148.0,0,0,83,4,6,8,6,3,10,1,2,0,3,7,0,0,0,0,0,0,0,38,37,0,0,6
1303,Graduate,Single,44267.0,1,1,48,183,5,65,3,5,49,5,5,2,4,9,0,0,0,0,0,0,0,53,310,2,0,16
1304,Graduate,In Relationship,71626.0,0,0,94,546,72,376,94,145,72,1,5,5,8,3,0,1,0,0,0,0,0,44,1305,0,1,19
1305,Graduate,In Relationship,60894.0,0,1,61,606,7,155,10,0,54,5,10,3,8,7,0,0,0,0,0,0,0,57,832,1,0,26
1306,Graduate,In Relationship,50200.0,1,1,70,266,6,51,8,6,64,6,7,1,5,8,0,0,0,0,0,0,0,47,401,2,0,19
1307,Post Graduate,In Relationship,81051.0,0,0,43,1142,29,249,38,29,14,1,5,5,12,2,0,1,1,0,0,0,0,58,1501,0,2,23
1308,Graduate,In Relationship,65169.0,0,0,23,1074,0,69,0,0,46,1,10,4,13,6,1,0,1,1,1,0,1,41,1189,0,4,28
1309,Graduate,In Relationship,59868.0,0,1,37,771,51,154,54,10,154,7,11,2,12,6,0,0,0,0,0,0,0,51,1194,1,0,32
1310,Post Graduate,In Relationship,65695.0,0,1,50,371,32,189,0,58,6,2,5,4,10,4,0,0,0,0,0,0,0,63,656,1,0,21
1311,Post Graduate,Single,64857.0,0,0,78,556,14,717,210,0,43,1,7,5,10,4,0,0,0,0,0,0,0,67,1540,0,0,23
1312,Post Graduate,In Relationship,45143.0,0,1,74,202,5,74,11,5,14,3,6,1,5,7,0,0,0,0,0,0,0,58,311,1,0,15
1313,Under Graduate,In Relationship,74805.0,0,1,14,209,162,209,41,162,37,5,4,7,10,2,0,0,0,0,0,0,0,68,820,1,0,26
1314,Under Graduate,In Relationship,59060.0,1,0,77,35,40,111,36,40,12,3,3,1,7,4,0,0,0,0,0,0,0,34,274,1,0,14
1315,Post Graduate,Single,27238.0,1,1,39,37,0,17,0,0,3,3,3,0,3,9,0,0,0,0,0,0,0,61,57,2,0,9
1316,Graduate,In Relationship,47009.0,0,1,89,171,45,73,59,10,90,4,3,2,8,4,0,0,0,0,0,0,0,58,448,1,0,17
1317,Under Graduate,In Relationship,46094.0,1,1,62,12,2,20,3,2,5,1,1,0,3,7,0,0,0,0,0,0,0,50,44,2,0,5
1318,Graduate,In Relationship,40321.0,1,1,59,44,4,21,6,0,27,2,3,0,3,7,0,0,0,0,0,0,0,51,102,2,0,8
1319,Graduate,In Relationship,37235.0,1,0,68,20,2,9,4,6,20,1,1,1,2,4,0,0,0,0,0,0,0,39,61,1,0,5
1320,Post Graduate,In Relationship,81843.0,0,0,13,779,86,537,34,69,138,1,5,9,12,3,0,0,0,0,0,0,0,63,1643,0,0,27
1321,Post Graduate,In Relationship,46692.0,0,1,37,170,6,97,24,12,88,3,6,1,5,6,0,0,0,0,0,0,0,65,397,1,0,15
1322,Graduate,In Relationship,77382.0,0,1,36,491,48,231,112,105,134,2,5,7,12,1,0,0,1,0,0,0,0,55,1121,1,1,26
1323,Graduate,Single,37774.0,2,0,28,173,8,107,7,2,176,4,7,2,3,9,1,0,0,0,0,1,1,46,473,2,1,16
1324,Under Graduate,In Relationship,18393.0,1,0,2,7,10,13,16,0,4,2,3,0,3,8,0,0,0,0,0,0,0,49,50,1,0,8
1325,Post Graduate,In Relationship,72828.0,0,1,17,1205,0,235,19,14,205,6,6,3,13,7,0,0,0,0,0,0,0,61,1678,1,0,28
1326,Graduate,In Relationship,24711.0,0,0,86,10,7,25,6,3,7,1,3,0,3,7,0,0,0,0,0,0,0,41,58,0,0,7
1327,Post Graduate,In Relationship,45503.0,1,0,54,97,4,44,6,1,18,1,3,1,4,5,0,0,0,0,0,0,0,48,170,1,0,9
1328,Post Graduate,Single,6560.0,0,0,2,67,11,26,4,3,262,0,1,0,1,17,0,0,0,0,0,0,0,41,373,0,0,2
1329,Post Graduate,In Relationship,71604.0,0,0,3,345,53,528,98,75,97,1,8,3,5,4,1,0,0,0,0,0,1,78,1196,0,1,17
1330,Graduate,In Relationship,27244.0,1,0,84,6,5,17,3,24,46,2,2,2,2,7,0,0,0,0,0,0,0,44,101,1,0,8
1331,Graduate,In Relationship,48752.0,1,1,8,73,57,100,71,15,0,5,6,1,5,9,0,0,0,0,0,0,1,54,316,2,0,17
1332,Graduate,In Relationship,71434.0,0,1,4,711,36,217,172,96,168,3,7,4,7,4,0,1,0,1,0,0,0,61,1400,1,2,21
1333,Graduate,Single,90842.0,0,0,57,774,70,118,182,187,93,1,4,9,13,1,0,0,0,0,0,0,0,75,1424,0,0,27
1334,Post Graduate,In Relationship,88097.0,1,0,24,163,0,480,0,126,75,1,6,5,8,9,0,1,1,1,0,0,1,45,844,1,3,20
1335,Graduate,In Relationship,51948.0,0,1,51,82,33,54,71,30,41,2,5,2,4,5,0,0,0,0,0,0,0,48,311,1,0,13
1336,Graduate,In Relationship,71853.0,0,0,29,358,108,413,141,97,32,1,2,8,6,1,0,0,0,0,0,0,0,41,1149,0,0,17
1337,Post Graduate,In Relationship,35876.0,0,0,13,66,2,40,4,3,14,1,3,1,3,6,0,0,0,0,0,0,0,40,129,0,0,8
1338,Graduate,Single,40049.0,0,1,23,13,6,7,0,3,3,1,1,0,3,6,0,0,0,0,0,0,0,71,32,1,0,5
1339,Graduate,Single,39660.0,1,0,36,139,13,78,20,13,36,3,7,1,3,9,0,0,0,0,0,0,1,41,299,1,0,14
1340,Graduate,In Relationship,50127.0,0,1,88,274,0,21,4,6,15,1,5,1,6,6,0,1,0,0,0,0,0,61,320,1,1,13
1341,Post Graduate,In Relationship,43263.0,0,1,2,262,6,61,0,10,102,3,5,2,6,5,0,0,0,0,0,0,0,46,441,1,0,16
1342,Post Graduate,In Relationship,62845.0,1,1,3,1099,0,45,0,0,34,11,3,4,10,8,0,1,0,0,0,0,1,74,1178,2,1,28
1343,Graduate,In Relationship,18929.0,0,0,15,32,0,8,23,4,18,1,1,0,4,6,0,0,0,0,0,0,0,33,85,0,0,6
1344,Under Graduate,Single,24367.0,1,0,58,2,4,2,0,11,5,1,1,0,2,9,0,0,0,0,0,0,0,41,24,1,0,4
1345,Graduate,Single,33249.0,1,0,11,6,10,21,19,14,42,2,2,1,3,6,0,0,0,0,0,0,0,48,112,1,0,8
1346,Under Graduate,In Relationship,26887.0,0,1,27,6,7,4,3,4,6,1,1,0,3,6,0,0,0,0,0,0,0,64,30,1,0,5
1347,Post Graduate,In Relationship,50150.0,0,0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,40,410,0,0,16
1348,Graduate,In Relationship,62061.0,0,1,12,641,7,84,0,30,38,3,10,4,7,6,0,1,0,0,0,0,0,47,800,1,1,24
1349,Post Graduate,Single,85696.0,0,0,88,714,76,395,116,0,12,1,4,6,9,1,0,0,0,0,0,0,1,61,1313,0,0,20
1350,Post Graduate,In Relationship,76542.0,0,0,91,794,73,573,0,29,14,1,4,8,10,2,0,0,0,0,0,0,0,67,1483,0,0,23
1351,Graduate,Single,70515.0,0,0,12,420,0,452,182,64,140,1,6,6,4,2,0,0,0,0,0,0,1,30,1258,0,0,17
1352,Graduate,In Relationship,18227.0,1,0,21,1,2,7,4,3,11,1,0,1,2,8,0,0,0,0,0,0,0,36,28,1,0,4
1353,Graduate,In Relationship,69139.0,0,1,23,86,12,75,33,15,6,1,4,1,5,4,0,0,0,0,0,0,0,58,227,1,0,11
1354,Graduate,In Relationship,69109.0,0,0,10,823,25,459,124,29,95,1,6,6,7,4,0,0,1,0,0,0,1,41,1555,0,1,20
1355,Graduate,Single,69627.0,0,1,35,231,161,215,171,30,53,2,8,2,11,5,0,0,0,0,0,0,0,61,861,1,0,23
1356,Graduate,In Relationship,38136.0,1,0,69,8,15,27,0,20,33,2,3,1,2,8,1,0,0,0,0,0,0,45,103,1,1,8
1357,Post Graduate,Single,62159.0,0,0,68,182,17,259,77,70,29,1,6,2,10,4,0,0,0,0,0,0,0,77,634,0,0,19
1358,Graduate,Single,80695.0,0,0,85,557,129,984,193,37,18,1,5,8,5,2,0,0,0,0,0,0,0,60,1918,0,0,19
1359,Post Graduate,Single,33316.0,1,1,34,79,1,31,4,4,12,3,2,1,4,6,0,0,0,0,0,0,0,52,131,2,0,10
1360,Graduate,In Relationship,58554.0,1,1,55,368,24,68,38,0,88,6,8,2,6,7,0,0,0,0,0,0,0,55,586,2,0,22
1361,Under Graduate,In Relationship,17256.0,1,0,10,6,4,14,8,8,22,2,2,1,2,8,1,0,0,0,0,0,0,31,62,1,1,7
1362,Graduate,Single,53034.0,1,1,30,160,15,196,15,11,50,8,6,1,7,8,0,0,0,0,0,0,0,49,447,2,0,22
1363,Under Graduate,In Relationship,52203.0,0,0,36,488,21,238,56,108,28,1,8,7,11,6,0,0,0,0,0,0,0,73,939,0,0,27
